Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
American Samoa,ASM,180.7,180.36,180.02,179.68,179.34,179.0,178.66,178.32,177.98,177.64,177.3,177.0,176.7,176.4,176.1,175.8,175.5,175.2,174.9,174.6,174.3,174.0,173.7,173.4,173.1,172.8,172.5,172.2,171.9,171.6,171.3,171.0
Andorra,AND,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
Antigua and Barbuda,ATG,101.1,100.44,99.78,99.12,98.46,97.8,97.14,96.48,95.82,95.16,94.5,93.83,93.16,92.49,91.82,91.15,90.48,89.81,89.14,88.47,87.8,87.14,86.48,85.82,85.16,84.5,83.8,83.2,82.5,81.8,81.2,80.533
Aruba,ABW,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
Bahrain,BHR,2.2,2.35,2.5,2.65,2.8,2.95,3.1,3.25,3.4,3.55,3.7,3.85,4.0,4.15,4.3,4.45,4.6,4.75,4.9,5.05,5.2,5.36,5.52,5.68,5.84,6.0,6.2,6.4,6.6,6.8,7.0,7.2
Barbados,BRB,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Bermuda,BMU,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
British Virgin Islands,VGB,37.1,37.06,37.02,36.98,36.94,36.9,36.86,36.82,36.78,36.74,36.7,36.67,36.64,36.61,36.58,36.55,36.52,36.49,36.46,36.43,36.4,36.36,36.32,36.28,36.24,36.2,36.2,36.2,36.2,36.2,36.2,36.2
Cabo Verde,CPV,153.8,178.14,202.48,226.82,251.16,275.5,299.84,324.18,348.52,372.86,397.2,400.2,403.2,406.2,409.2,412.2,415.2,418.2,421.2,424.2,427.2,430.2,433.2,436.2,439.2,442.2,445.2,448.2,451.2,454.2,457.2,460.2
Cayman Islands,CYM,131.3,131.1,130.9,130.7,130.5,130.3,130.1,129.9,129.7,129.5,129.3,129.09,128.88,128.67,128.46,128.25,128.04,127.83,127.62,127.41,127.2,127.2,127.2,127.2,127.2,127.2,127.2,127.2,128.1,127.2,127.2,126.6
Channel Islands,CHI,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.49,8.68,8.87,9.06,9.25,9.44,9.63,9.82,10.01,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
Comoros,COM,460.6,456.22,451.84,447.46,443.08,438.7,434.32,429.94,425.56,421.18,416.8,412.42,408.04,403.66,399.28,394.9,390.52,386.14,381.76,377.38,373.0,368.62,364.24,359.86,355.48,351.1,346.7,342.3,338.0,333.6,329.2,324.8
Djibouti,DJI,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.1,56.4,57.0,58.0,58.733
Dominica,DMA,503.1,500.66,498.22,495.78,493.34,490.9,488.46,486.02,483.58,481.14,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7
"Egypt, Arab Rep.",EGY,438.1,453.5,468.9,484.3,499.7,515.1,530.5,545.9,561.3,576.7,592.1,598.53,604.96,611.39,617.82,624.25,630.68,637.11,643.54,649.97,656.4,621.96,587.52,553.08,518.64,484.2,449.8,449.8,449.8,449.8,449.8,449.8
Faroe Islands,FRO,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gibraltar,GIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenland,GRL,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Grenada,GRD,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0
Guam,GUM,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,242.0,244.0,246.0,248.0,250.0,280.0,280.0,280.0,280.0,280.0,280.0
Iceland,ISL,170.7,183.46,196.22,208.98,221.74,234.5,247.26,260.02,272.78,285.54,298.3,313.14,327.98,342.82,357.66,372.5,387.34,402.18,417.02,431.86,446.7,453.68,460.66,467.64,474.62,481.6,486.6,493.8,500.4,506.9,513.5,520.033
Isle of Man,IMN,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6
Kiribati,KIR,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8
Kuwait,KWT,34.5,35.9,37.3,38.7,40.1,41.5,42.9,44.3,45.7,47.1,48.5,49.9,51.3,52.7,54.1,55.5,56.9,58.3,59.7,61.1,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
Lesotho,LSO,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2,345.2
Liechtenstein,LIE,65.0,65.2,65.4,65.6,65.8,66.0,66.2,66.4,66.6,66.8,67.0,66.999,66.998,66.998,66.997,66.996,66.995,66.994,66.994,66.993,66.992,66.994,66.995,66.997,66.998,67.0,67.0,67.0,67.0,67.0,67.0,67.0
Maldives,MDV,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2
Malta,MLT,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.8,4.2,4.6,4.6,4.6,4.6
Mauritius,MUS,410.7,411.56,412.42,413.28,414.14,415.0,415.86,416.72,417.58,418.44,419.3,415.76,412.22,408.68,405.14,401.6,398.06,394.52,390.98,387.44,383.9,383.72,383.54,383.36,383.18,383.0,382.9,386.5,386.9,387.3,387.7,388.1
Oman,OMN,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.0,27.0,26.0,25.0,25.0,24.333
San Marino,SMR,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Sao Tome and Principe,STP,586.2,585.94,585.68,585.42,585.16,584.9,584.64,584.38,584.12,583.86,583.6,583.34,583.08,582.82,582.56,582.3,582.04,581.78,581.52,581.26,581.0,574.8,568.6,562.4,556.2,550.0,543.8,537.6,531.4,525.2,519.0,512.8
Seychelles,SYC,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337.0
Singapore,SGP,148.269,150.456,152.642,154.829,157.015,159.202,161.389,163.575,165.762,167.948,170.135,170.861,171.588,172.315,173.042,173.769,174.496,175.223,175.95,176.677,177.404,174.866,172.328,169.79,167.252,164.714,162.855,161.1,159.3,157.5,155.7,153.9
St. Kitts and Nevis,KNA,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
St. Lucia,LCA,212.7,212.44,212.18,211.92,211.66,211.4,211.14,210.88,210.62,210.36,210.1,209.86,209.62,209.38,209.14,208.9,208.66,208.42,208.18,207.94,207.7,207.7,207.7,207.7,207.7,207.7,207.7,207.7,207.7,207.7,207.7,207.7
St. Vincent and the Grenadines,VCT,275.4,276.4,277.4,278.4,279.4,280.4,281.4,282.4,283.4,284.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4
Tonga,TON,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5
Turks and Caicos Islands,TCA,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2
Tuvalu,TUV,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Virgin Islands (U.S.),VIR,245.4,241.33,237.26,233.19,229.12,225.05,220.98,216.91,212.84,208.77,204.7,202.66,200.62,198.58,196.54,194.5,192.46,190.42,188.38,186.34,184.3,185.76,187.22,188.68,190.14,191.6,193.1,194.6,196.1,197.6,199.1,200.6
West Bank and Gaza,PSE,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,91.67,92.54,93.41,94.28,95.15,96.02,96.89,97.76,98.63,99.5,99.88,100.26,100.64,101.02,101.4,101.4,101.4,101.4,101.4,101.4,101.4
